yyyymm,buy_index,sgg,rent_index,cpi,pir,move_population,subway,department_store,apart_brand,marry,unsold
201709,85.5,강동구,99.7,93.03,32.8,-1112,10,1,5,2427,0
201710,86.1,강동구,100.1,97.465,27,-839,10,1,5,2427,0
201711,86.8,강동구,100.6,100.55,23.6,-1143,10,1,5,2427,0
201712,87.3,강동구,100.6,104.55,24.1,-666,10,1,5,2427,0
201801,89,강동구,100.5,77.019,25.7,-286,10,1,5,2371,0
201802,90,강동구,100.4,80.719,27.8,-304,10,1,5,2371,0
201803,92,강동구,100.1,87.589,31.5,-257,10,1,6,2371,0
201804,92.8,강동구,99.8,94.292,30.8,-193,10,1,6,2371,0
201805,93,강동구,99.3,98.313,26.3,-277,10,1,6,2371,0
201806,93.5,강동구,99.3,100.87,25.2,-123,10,1,6,2371,0
201807,94,강동구,99.5,105.33,24.5,-252,10,1,6,2371,0
201808,94.9,강동구,99.8,78.065,26.7,-288,10,1,6,2371,0
201809,97.9,강동구,100.4,81.968,28.3,-341,10,1,6,2371,-
201810,99.7,강동구,100.7,88.447,31,-501,10,1,6,2371,-
201811,100,강동구,100.8,95.644,28.5,-533,10,1,6,2371,0
201812,100.1,강동구,100.4,99.232,26.3,-467,12,1,6,2371,0
201901,100,강동구,100,101.89,23.8,-214,12,1,6,2371,0
201902,99.8,강동구,99,105.26,23.6,-266,12,1,6,2371,15
201903,99.5,강동구,98.2,78.456,27.1,-452,12,1,6,2371,14
201904,99.2,강동구,97.7,83.53,25.6,-243,12,1,6,2371,13
201905,98.8,강동구,97,89.695,28.2,-193,12,1,6,2371,13
201906,98.6,강동구,96.4,96.564,29.4,-88,12,1,6,2371,13
201907,98.7,강동구,96.3,99.56,25.4,574,12,1,6,2371,137
201908,99.1,강동구,96,102.97,22.9,323,12,1,6,2371,137
200701,72.7,강북구,51.9,97.114,22.9,-178,3,1,0,2390,-
200702,73.6,강북구,52.4,100.18,22.5,-122,3,1,0,2390,-
200703,75,강북구,53.2,104.31,24.4,-231,3,1,0,2390,-
200704,75.5,강북구,53.7,76.887,25.6,-288,3,1,0,2390,-
200705,75.6,강북구,53.9,80.251,26,-265,3,1,0,2390,-
200706,75.9,강북구,54,87.589,29.7,-127,3,1,0,2390,-
200707,76.8,강북구,54,94.382,25.8,-210,3,1,0,2390,106
200708,77.3,강북구,54,98.114,22.3,-196,3,1,0,2390,-
200709,78.5,강북구,54.7,100.92,23,-165,3,1,0,2390,-
200710,79.1,강북구,54.8,105.7,23.6,-154,3,1,0,2390,-
200711,80.7,강북구,54.8,78.065,26,-247,3,1,0,2390,-
200712,82.1,강북구,54.8,81.89,28.6,-574,3,1,0,2390,0
200801,83,강북구,55.1,88.135,31.8,-314,3,1,0,2237,-
200802,84,강북구,55.4,95.608,26.9,-341,3,1,0,2237,-
200803,84.5,강북구,55.4,98.989,23.5,-346,3,1,0,2237,-
200804,87.8,강북구,56.1,101.73,24.1,-264,3,1,0,2237,-
200805,89.3,강북구,56.4,104.86,25.6,-241,3,1,0,2237,-
200806,90.4,강북구,56.7,78.533,21.4,-153,3,1,0,2237,0
200807,90.9,강북구,56.8,83.295,27.2,-147,3,1,0,2237,-
200808,91.1,강북구,56.9,89.875,30.7,-154,3,1,0,2237,-
200809,91.1,강북구,57.2,96.807,24.7,-147,3,1,0,2237,-
200810,91.1,강북구,57.7,99.49,22.8,-207,3,1,0,2237,22
200811,91,강북구,57.7,103.12,23.2,-243,3,1,0,2237,14
200812,89.4,강북구,57,73.943,26.7,-220,3,1,0,2237,14
200901,89.2,강북구,56.5,79.392,27,-79,3,1,0,2053,4
200902,88.7,강북구,56,85.949,29.9,-192,3,1,0,2053,0
200903,88.1,강북구,55.9,90.777,29.2,-176,3,1,0,2053,0
200904,88,강북구,55.9,97.087,25.7,-59,3,1,0,2053,0
200905,87.9,강북구,55.9,100.26,22.3,-110,3,1,0,2053,0
200906,87.8,강북구,55.9,102.86,22.5,-170,3,1,0,2053,0
200907,87.8,강북구,56,75.775,27.1,-64,3,1,0,2053,0
200908,88.2,강북구,56.4,80.329,25.9,-33,3,1,0,2053,0
200909,88.6,강북구,57.1,86.418,27.4,-88,3,1,0,2053,0
200910,88.7,강북구,57.5,93.211,27.4,-213,3,1,0,2053,0
200911,88.8,강북구,58.3,97.691,23.6,-331,3,1,0,2053,0
200912,88.8,강북구,58.3,100.63,21.3,-238,3,1,0,2053,0
